Date,Time,Object Name,Object ID,Target Name,Target ID,Min Distance (km),Relative Speed (km/s),Object Since Epoch (days),Target Since Epoch (days),Collision Probability
2026-01-07,00:32:04.261,JILIN-1 GAOFEN 2D,49256,ARLINK-30145,57496,7.5747070443132305,13.537975449001825,11.11520526977256,11.556646929588169,1.3451848600059394e-05
2026-01-07,02:02:41.118,JILIN-1 GAOFEN 2D,49256,ARLINK-30519,57985,6.880775382213046,14.154617559298877,11.178131865803152,11.628987105563283,1.4948838909533315e-05
2026-01-07,03:47:43.559,JILIN-1 GAOFEN 2D,49256,ARLINK-1542,46073,8.748605010982336,12.886704533088276,11.251076782122254,11.264319952111691,1.573647475535839e-05
2026-01-07,04:46:40.940,JILIN-1 GAOFEN 2D,49256,ARLINK-33793,64165,2.7698213020466924,8.576047376068429,11.292018687352538,11.578999337274581,7.355391178263444e-06
2026-01-07,06:55:47.692,JILIN-1 GAOFEN 2D,49256,ARLINK-6209,56877,6.297509140630383,10.276612954582808,11.381680176593363,11.879857616499066,1.2751754796594683e-06
2026-01-07,07:57:05.763,JILIN-1 GAOFEN 2D,49256,ARLINK-34780,65074,4.783072724451662,5.619164621080878,11.424250435084105,11.579305634833872,7.755973937974875e-06
2026-01-07,11:45:26.151,JILIN-1 GAOFEN 2D,49256,ARLINK-3952,52534,7.647884162762161,10.911845285213703,11.582819744944572,11.838917414657772,2.0895922427637402e-07
2026-01-07,13:06:52.270,JILIN-1 GAOFEN 2D,49256,ARLINK-30498,57971,8.962598257817797,14.266486952079868,11.63937204843387,11.766419828403741,7.005921348658806e-07
2026-01-07,16:40:35.378,JILIN-1 GAOFEN 2D,49256,NYAO-1 46,63347,2.689234693114466,7.416026582762035,11.787787647917867,11.716352347750217,5.736560204260611e-06
2026-01-07,19:39:12.997,JILIN-1 GAOFEN 2D,49256,ARLINK-6248,57082,7.4054661109885,9.689249382176614,11.911834164056927,12.144412623718381,1.3439213656047881e-06
2026-01-07,19:37:21.819,JILIN-1 GAOFEN 2D,49256,ARLINK-30226,57497,3.280458567053276,13.702415377596067,11.910547377076,12.288840776775032,1.1624638398523475e-05
2026-01-07,22:54:01.159,JILIN-1 GAOFEN 2D,49256,ARLINK-3761,52262,7.234853448135492,12.42750913349136,12.047113820444793,12.040096770040691,9.700630310649675e-07
2026-01-07,00:32:04.261,JILIN-1 GAOFEN 2D,49256,ARLINK-30145,57496,7.5747070443132305,13.537975449001825,11.11520526977256,11.556646929588169,1.3451848600059394e-05
2026-01-07,02:02:41.118,JILIN-1 GAOFEN 2D,49256,ARLINK-30519,57985,6.880775382213046,14.154617559298877,11.178131865803152,11.628987105563283,1.4948838909533315e-05
2026-01-07,03:47:43.559,JILIN-1 GAOFEN 2D,49256,ARLINK-1542,46073,8.748605010982336,12.886704533088276,11.251076782122254,11.264319952111691,1.573647475535839e-05
2026-01-07,04:46:40.940,JILIN-1 GAOFEN 2D,49256,ARLINK-33793,64165,2.7698213020466924,8.576047376068429,11.292018687352538,11.578999337274581,7.355391178263444e-06
2026-01-07,06:55:47.692,JILIN-1 GAOFEN 2D,49256,ARLINK-6209,56877,6.297509140630383,10.276612954582808,11.381680176593363,11.879857616499066,1.2751754796594683e-06
2026-01-07,07:57:05.763,JILIN-1 GAOFEN 2D,49256,ARLINK-34780,65074,4.783072724451662,5.619164621080878,11.424250435084105,11.579305634833872,7.755973937974875e-06
2026-01-07,11:45:26.151,JILIN-1 GAOFEN 2D,49256,ARLINK-3952,52534,7.647884162762161,10.911845285213703,11.582819744944572,11.838917414657772,2.0895922427637402e-07
2026-01-07,13:06:52.270,JILIN-1 GAOFEN 2D,49256,ARLINK-30498,57971,8.962598257817797,14.266486952079868,11.63937204843387,11.766419828403741,7.005921348658806e-07
2026-01-07,16:40:35.378,JILIN-1 GAOFEN 2D,49256,NYAO-1 46,63347,2.689234693114466,7.416026582762035,11.787787647917867,11.716352347750217,5.736560204260611e-06
2026-01-07,19:39:12.997,JILIN-1 GAOFEN 2D,49256,ARLINK-6248,57082,7.4054661109885,9.689249382176614,11.911834164056927,12.144412623718381,1.3439213656047881e-06
2026-01-07,19:37:21.819,JILIN-1 GAOFEN 2D,49256,ARLINK-30226,57497,3.280458567053276,13.702415377596067,11.910547377076,12.288840776775032,1.1624638398523475e-05
2026-01-07,22:54:01.159,JILIN-1 GAOFEN 2D,49256,ARLINK-3761,52262,7.234853448135492,12.42750913349136,12.047113820444793,12.040096770040691,9.700630310649675e-07
2026-01-08,00:21:05.541,JILIN-1 GAOFEN 2D,49256,ARLINK-30765,58119,3.09934125171504,7.58429366589886,12.1075811968185,12.537087636534125,6.412230046731579e-06
2026-01-08,04:28:04.195,JILIN-1 GAOFEN 2D,49256,ARLINK-3761,52262,2.709765522797544,12.535168395388165,12.279093397315592,12.27207634691149,8.681545129269313e-06
2026-01-08,06:11:06.288,JILIN-1 GAOFEN 2D,49256,ARLINK-34628,64864,5.08750338368593,11.037748950899909,12.350645404309034,12.378548654261976,7.405398113894601e-06
2026-01-08,19:34:31.840,JILIN-1 GAOFEN 2D,49256,ARLINK-3936,52674,7.87630344394132,9.571176880341568,12.908580031245947,13.227700291201472,9.556970653063719e-07
2026-01-08,21:10:22.767,JILIN-1 GAOFEN 2D,49256,ARLINK-4018,52697,9.5018835151814,9.985699509987102,12.97514168638736,13.294683326035738,1.5057079590781803e-06
2026-01-08,22:26:01.929,JILIN-1 GAOFEN 2D,49256,ARLINK-30108,56299,9.725592015485718,7.675262869770975,13.027678284328431,13.255784444045275,8.34716781774468e-07
2026-01-07,00:32:04.261,JILIN-1 GAOFEN 2D,49256,ARLINK-30145,57496,7.5747070443132305,13.537975449001825,11.11520526977256,11.556646929588169,1.3451848600059394e-05
2026-01-07,02:02:41.118,JILIN-1 GAOFEN 2D,49256,ARLINK-30519,57985,6.880775382213046,14.154617559298877,11.178131865803152,11.628987105563283,1.4948838909533315e-05
2026-01-07,03:47:43.559,JILIN-1 GAOFEN 2D,49256,ARLINK-1542,46073,8.748605010982336,12.886704533088276,11.251076782122254,11.264319952111691,1.573647475535839e-05
2026-01-07,04:46:40.940,JILIN-1 GAOFEN 2D,49256,ARLINK-33793,64165,2.7698213020466924,8.576047376068429,11.292018687352538,11.578999337274581,7.355391178263444e-06
2026-01-07,06:55:47.692,JILIN-1 GAOFEN 2D,49256,ARLINK-6209,56877,6.297509140630383,10.276612954582808,11.381680176593363,11.879857616499066,1.2751754796594683e-06
2026-01-07,07:57:05.763,JILIN-1 GAOFEN 2D,49256,ARLINK-34780,65074,4.783072724451662,5.619164621080878,11.424250435084105,11.579305634833872,7.755973937974875e-06
2026-01-07,11:45:26.151,JILIN-1 GAOFEN 2D,49256,ARLINK-3952,52534,7.647884162762161,10.911845285213703,11.582819744944572,11.838917414657772,2.0895922427637402e-07
2026-01-07,13:06:52.270,JILIN-1 GAOFEN 2D,49256,ARLINK-30498,57971,8.962598257817797,14.266486952079868,11.63937204843387,11.766419828403741,7.005921348658806e-07
2026-01-07,16:40:35.378,JILIN-1 GAOFEN 2D,49256,NYAO-1 46,63347,2.689234693114466,7.416026582762035,11.787787647917867,11.716352347750217,5.736560204260611e-06
2026-01-07,19:39:12.997,JILIN-1 GAOFEN 2D,49256,ARLINK-6248,57082,7.4054661109885,9.689249382176614,11.911834164056927,12.144412623718381,1.3439213656047881e-06
2026-01-07,19:37:21.819,JILIN-1 GAOFEN 2D,49256,ARLINK-30226,57497,3.280458567053276,13.702415377596067,11.910547377076,12.288840776775032,1.1624638398523475e-05
2026-01-07,22:54:01.159,JILIN-1 GAOFEN 2D,49256,ARLINK-3761,52262,7.234853448135492,12.42750913349136,12.047113820444793,12.040096770040691,9.700630310649675e-07
2026-01-08,00:21:05.541,JILIN-1 GAOFEN 2D,49256,ARLINK-30765,58119,3.09934125171504,7.58429366589886,12.1075811968185,12.537087636534125,6.412230046731579e-06
2026-01-08,04:28:04.195,JILIN-1 GAOFEN 2D,49256,ARLINK-3761,52262,2.709765522797544,12.535168395388165,12.279093397315592,12.27207634691149,8.681545129269313e-06
2026-01-08,06:11:06.288,JILIN-1 GAOFEN 2D,49256,ARLINK-34628,64864,5.08750338368593,11.037748950899909,12.350645404309034,12.378548654261976,7.405398113894601e-06
2026-01-08,19:34:31.840,JILIN-1 GAOFEN 2D,49256,ARLINK-3936,52674,7.87630344394132,9.571176880341568,12.908580031245947,13.227700291201472,9.556970653063719e-07
2026-01-08,21:10:22.767,JILIN-1 GAOFEN 2D,49256,ARLINK-4018,52697,9.5018835151814,9.985699509987102,12.97514168638736,13.294683326035738,1.5057079590781803e-06
2026-01-08,22:26:01.929,JILIN-1 GAOFEN 2D,49256,ARLINK-30108,56299,9.725592015485718,7.675262869770975,13.027678284328431,13.255784444045275,8.34716781774468e-07
2026-03-08,00:37:36.903,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,7.6008526137847845,12.658144382572493,1.235820297151804,1.5746773169375956,3.1684562153909086e-13
2026-03-08,01:12:34.952,JILIN-1 GAOFEN 2D,49256,ARLINK-5749,55569,7.031058750579678,14.27013131979096,1.2601032704114914,1.4946131403557956,3.935979322133295e-12
2026-03-08,02:13:02.508,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,6.800731774189549,12.679002789796888,1.3020888711325824,1.640945890918374,1.6373639084140944e-13
2026-03-08,02:38:32.119,JILIN-1 GAOFEN 2D,49256,ARLINK-5628,55466,7.630039779300911,13.731707099872025,1.319792709313333,1.3054082789458334,1.3207928210552184e-14
2026-03-08,03:48:29.258,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,8.92154056105202,12.699769372689016,1.3683707020245492,1.7072277218103409,4.977927274773399e-14
2026-03-08,04:47:01.757,JILIN-1 GAOFEN 2D,49256,SC-EO1,62725,8.047531526128129,6.206688030446864,1.4090246274136007,1.334445487242192,4.5717357063502207e-07
2026-03-08,05:47:43.920,JILIN-1 GAOFEN 2D,49256,ARLINK-30466,57904,6.9281987829519425,13.277509527211201,1.4511792925186455,2.172153102234006,2.4786025933701274e-15
2026-03-08,08:32:44.105,JILIN-1 GAOFEN 2D,49256,ARLINK-3858,52553,8.270076287564885,8.513383024380271,1.5657647708430886,1.7666636505164206,2.4103529534230168e-05
2026-03-08,09:17:47.349,JILIN-1 GAOFEN 2D,49256,ARLINK-5444,54768,3.2537815907478356,14.406292625426747,1.5970523077994585,2.1446600877679884,2.483331218618988e-05
2026-03-08,11:22:24.464,JILIN-1 GAOFEN 2D,49256,OGAN-39 04B,58143,9.138342379972077,11.15139355703687,1.6835929998196661,1.597575489897281,7.517733226630919e-09
2026-03-08,16:47:46.014,JILIN-1 GAOFEN 2D,49256,ARLINK-5906,55962,9.763249399484048,9.717319581375708,1.9095368650741875,1.8548061549663544,6.010739085838017e-54
2026-03-08,21:58:47.191,JILIN-1 GAOFEN 2D,49256,ARLINK-4104,53163,9.4131211404175,6.346606249065773,2.1255227038636804,2.5890250839293003,1.0498781168282575e-11
2026-03-08,00:37:36.903,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,7.6008526137847845,12.658144382572493,1.235820297151804,1.5746773169375956,3.1684562153909086e-13
2026-03-08,01:12:34.952,JILIN-1 GAOFEN 2D,49256,ARLINK-5749,55569,7.031058750579678,14.27013131979096,1.2601032704114914,1.4946131403557956,3.935979322133295e-12
2026-03-08,02:13:02.508,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,6.800731774189549,12.679002789796888,1.3020888711325824,1.640945890918374,1.6373639084140944e-13
2026-03-08,02:38:32.119,JILIN-1 GAOFEN 2D,49256,ARLINK-5628,55466,7.630039779300911,13.731707099872025,1.319792709313333,1.3054082789458334,1.3207928210552184e-14
2026-03-08,03:48:29.258,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,8.92154056105202,12.699769372689016,1.3683707020245492,1.7072277218103409,4.977927274773399e-14
2026-03-08,04:47:01.757,JILIN-1 GAOFEN 2D,49256,SC-EO1,62725,8.047531526128129,6.206688030446864,1.4090246274136007,1.334445487242192,4.5717357063502207e-07
2026-03-08,05:47:43.920,JILIN-1 GAOFEN 2D,49256,ARLINK-30466,57904,6.9281987829519425,13.277509527211201,1.4511792925186455,2.172153102234006,2.4786025933701274e-15
2026-03-08,08:32:44.105,JILIN-1 GAOFEN 2D,49256,ARLINK-3858,52553,8.270076287564885,8.513383024380271,1.5657647708430886,1.7666636505164206,2.4103529534230168e-05
2026-03-08,09:17:47.349,JILIN-1 GAOFEN 2D,49256,ARLINK-5444,54768,3.2537815907478356,14.406292625426747,1.5970523077994585,2.1446600877679884,2.483331218618988e-05
2026-03-08,11:22:24.464,JILIN-1 GAOFEN 2D,49256,OGAN-39 04B,58143,9.138342379972077,11.15139355703687,1.6835929998196661,1.597575489897281,7.517733226630919e-09
2026-03-08,16:47:46.014,JILIN-1 GAOFEN 2D,49256,ARLINK-5906,55962,9.763249399484048,9.717319581375708,1.9095368650741875,1.8548061549663544,6.010739085838017e-54
2026-03-08,21:58:47.191,JILIN-1 GAOFEN 2D,49256,ARLINK-4104,53163,9.4131211404175,6.346606249065773,2.1255227038636804,2.5890250839293003,1.0498781168282575e-11
2026-03-08,00:37:36.903,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,7.6008526137847845,12.658144382572493,1.235820297151804,1.5746773169375956,3.1684562153909086e-13
2026-03-08,01:12:34.952,JILIN-1 GAOFEN 2D,49256,ARLINK-5749,55569,7.031058750579678,14.27013131979096,1.2601032704114914,1.4946131403557956,3.935979322133295e-12
2026-03-08,02:13:02.508,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,6.800731774189549,12.679002789796888,1.3020888711325824,1.640945890918374,1.6373639084140944e-13
2026-03-08,02:38:32.119,JILIN-1 GAOFEN 2D,49256,ARLINK-5628,55466,7.630039779300911,13.731707099872025,1.319792709313333,1.3054082789458334,1.3207928210552184e-14
2026-03-08,03:48:29.258,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,8.92154056105202,12.699769372689016,1.3683707020245492,1.7072277218103409,4.977927274773399e-14
2026-03-08,04:47:01.757,JILIN-1 GAOFEN 2D,49256,SC-EO1,62725,8.047531526128129,6.206688030446864,1.4090246274136007,1.334445487242192,4.5717357063502207e-07
2026-03-08,05:47:43.920,JILIN-1 GAOFEN 2D,49256,ARLINK-30466,57904,6.9281987829519425,13.277509527211201,1.4511792925186455,2.172153102234006,2.4786025933701274e-15
2026-03-08,08:32:44.105,JILIN-1 GAOFEN 2D,49256,ARLINK-3858,52553,8.270076287564885,8.513383024380271,1.5657647708430886,1.7666636505164206,2.4103529534230168e-05
2026-03-08,09:17:47.349,JILIN-1 GAOFEN 2D,49256,ARLINK-5444,54768,3.2537815907478356,14.406292625426747,1.5970523077994585,2.1446600877679884,2.483331218618988e-05
2026-03-08,11:22:24.464,JILIN-1 GAOFEN 2D,49256,OGAN-39 04B,58143,9.138342379972077,11.15139355703687,1.6835929998196661,1.597575489897281,7.517733226630919e-09
2026-03-08,16:47:46.014,JILIN-1 GAOFEN 2D,49256,ARLINK-5906,55962,9.763249399484048,9.717319581375708,1.9095368650741875,1.8548061549663544,6.010739085838017e-54
2026-03-08,21:58:47.191,JILIN-1 GAOFEN 2D,49256,ARLINK-4104,53163,9.4131211404175,6.346606249065773,2.1255227038636804,2.5890250839293003,1.0498781168282575e-11
2026-03-08,00:37:36.903,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,7.6008526137847845,12.658144382572493,1.235820297151804,1.5746773169375956,3.1684562153909086e-13
2026-03-08,01:12:34.952,JILIN-1 GAOFEN 2D,49256,ARLINK-5749,55569,7.031058750579678,14.27013131979096,1.2601032704114914,1.4946131403557956,3.935979322133295e-12
2026-03-08,02:13:02.508,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,6.800731774189549,12.679002789796888,1.3020888711325824,1.640945890918374,1.6373639084140944e-13
2026-03-08,02:38:32.119,JILIN-1 GAOFEN 2D,49256,ARLINK-5628,55466,7.630039779300911,13.731707099872025,1.319792709313333,1.3054082789458334,1.3207928210552184e-14
2026-03-08,03:48:29.258,JILIN-1 GAOFEN 2D,49256,ARLINK-3732,52126,8.92154056105202,12.699769372689016,1.3683707020245492,1.7072277218103409,4.977927274773399e-14
2026-03-08,04:47:01.757,JILIN-1 GAOFEN 2D,49256,SC-EO1,62725,8.047531526128129,6.206688030446864,1.4090246274136007,1.334445487242192,4.5717357063502207e-07
2026-03-08,05:47:43.920,JILIN-1 GAOFEN 2D,49256,ARLINK-30466,57904,6.9281987829519425,13.277509527211201,1.4511792925186455,2.172153102234006,2.4786025933701274e-15
2026-03-08,08:32:44.105,JILIN-1 GAOFEN 2D,49256,ARLINK-3858,52553,8.270076287564885,8.513383024380271,1.5657647708430886,1.7666636505164206,2.4103529534230168e-05
